职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
文案策划（工程装饰行业）职位编号：HYT017,深圳市合裕泰装饰有限公司,,大专,1-3年,3800-5500元/月,20-99人,,http://jobs.zhaopin.com/CZ746209440J00049573101.htm
文案策划经理,深圳魅色网络传媒有限公司,,不限,,6001-8000元/月,100-499人,,http://jobs.zhaopin.com/263302635250107.htm
激光机械工程师,美德客科技(深圳)有限公司,,大专,1-3年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/514831125250068.htm
技术工程师,美德客科技(深圳)有限公司,,大专,1-3年,4000-8000元/月,20-99人,,http://jobs.zhaopin.com/514831125250065.htm
机械工程师,美德客科技(深圳)有限公司,,大专,1-3年,4500-8000元/月,20-99人,,http://jobs.zhaopin.com/514831125250066.htm
自动化设备工程师,美德客科技(深圳)有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/514831125250067.htm
销售代表/业务员/客户代表/销售精英 底薪+++++,深圳市合利通光电有限公司,,大专,1-3年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/CZ726295040J00049567601.htm
人力资源专员,怡亚通供应链股份有限公司 ,,大专,1-3年,4001-6000元/月,10000人,,http://jobs.zhaopin.com/000592781257861.htm
技术支持工程师（显示屏 深圳）,凌云光子技术集团,,本科,1-3年,6001-8000元/月,1000-9999人,,http://jobs.zhaopin.com/120479221252443.htm
销售工程师(智能穿戴/硬件、VR、无人机方向),深圳市华商龙商务互联科技有限公司,,大专,1-3年,4500-8000元/月,100-499人,,http://jobs.zhaopin.com/253457535250160.htm
平面设计,触摸未来投资管理(深圳)有限公司,,不限,,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/303410280250051.htm
高速点胶：软件编程开发-运动控制卡+视觉检测,深圳市纳瑞科技有限公司,,不限,,15000-30000元/月,100-499人,,http://jobs.zhaopin.com/233130513250262.htm
销售代表,深圳市瀚方数码图像设计有限公司,,不限,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ723813140J00016666003.htm
FPGA软件工程师,深圳天盈光电系统有限公司,,本科,1-3年,10000-20000元/月,20-99人,,http://jobs.zhaopin.com/373675684250040.htm
美工,深圳市爱立普科技有限公司,,大专,1-3年,5000-10000元/月,20-99人,,http://jobs.zhaopin.com/326806311250001.htm
计算机视觉双目SLAM算法高级工程师,深圳睛灵科技有限公司,,硕士,3-5年,20000-40000元/月,20人,,http://jobs.zhaopin.com/CZ731322040J00007298205.htm
美工设计,深圳市金康瑞科技有限公司,,本科,1-3年,5000-8000元/月,100-499人,,http://jobs.zhaopin.com/296249914250193.htm
嵌入式软件工程师,广东科创航天科技有限公司,,硕士,,10001-15000元/月,20人,,http://jobs.zhaopin.com/336030239250063.htm
程序架构师,深圳市优策企业管理顾问有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/310823617250088.htm
影视后期制作,深圳市量子视觉科技有限公司,,本科,3-5年,6000-9000元/月,20-99人,,http://jobs.zhaopin.com/348358036250018.htm
OpenGL软件工程师,深圳中科飞测科技有限公司,,本科,1-3年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/313517880250031.htm
美工,广州赛意信息科技股份有限公司,,本科,1-3年,6001-8000元/月,1000-9999人,,http://jobs.zhaopin.com/154357126250993.htm
网站和系统维护专员,深圳圆融汇通跨境电商物流股份有限公司,,不限,,2001-4000元/月,20-99人,,http://jobs.zhaopin.com/268772319250157.htm
