职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
图像优化,CES获奖黑科技品牌,,本科或以上,1年工作经验,50-80万,,,https://www.liepin.com/a/9252509.shtml
图象算法研发经理,泰爻光电,,本科或以上,5年工作经验,30-46万,,,https://www.liepin.com/job/198335215.shtml
高级ISP工程师,英飞拓,,学历不限,5年工作经验,12-24万,,,https://www.liepin.com/job/196547218.shtml
嵌入式软件工程师,深圳市固胜智能科技有限公司,,本科或以上,2年工作经验,10-14万,,,https://www.liepin.com/job/198641409.shtml
FPGA开发工程师,景阳科技,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/198641492.shtml
ISP工程师,英飞拓,,学历不限,4年工作经验,12-18万,,,https://www.liepin.com/job/196547252.shtml
C++工程师,深圳市菲森科技有限公司,,本科或以上,经验不限,12-24万,,,https://www.liepin.com/job/196373184.shtml
算法工程师,斯尔顿科技,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/196403502.shtml
放射科医师,深圳安科,,本科或以上,5年工作经验,24-36万,,,https://www.liepin.com/job/198538111.shtml
网络摄像机嵌入式软件工程师,物联传感,,本科或以上,3年工作经验,18-24万,,,https://www.liepin.com/job/198178699.shtml
算法工程师,泰山在线科技,,硕士或以上,2年工作经验,面议,,,https://www.liepin.com/job/197750588.shtml
基带多媒体器件工程师,深圳桑菲消费通信有限公司,,本科或以上,3年工作经验,12-22万,,,https://www.liepin.com/job/196595036.shtml
技术总监,深圳市思榕科技有限公司,,硕士或以上,5年工作经验,24-54万,,,https://www.liepin.com/job/195930220.shtml
Camera算法工程师,依偎科技,,本科或以上,3年工作经验,26-65万,,,https://www.liepin.com/job/197673419.shtml
camera系统工程师,依偎科技,,本科或以上,3年工作经验,26-52万,,,https://www.liepin.com/job/197711144.shtml
博士工程师,深圳市科思科技股份有限公司,,博士或以上,经验不限,18-36万,,,https://www.liepin.com/job/197448955.shtml
算法工程师,深圳市科思科技股份有限公司,,本科或以上,5年工作经验,18-30万,,,https://www.liepin.com/job/197448923.shtml
相机效果工程师,富士康科技集团WLBG,,本科或以上,2年工作经验,17-35万,,,https://www.liepin.com/job/198543284.shtml
图传工程师,坎德拉,,本科或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/198449498.shtml
视频智能算法高级软件工程师,深圳市图敏智能视频股份有限公司,,本科或以上,1年工作经验,面议,,,https://www.liepin.com/job/198390037.shtml
OpenGL开发工程师,依偎科技,,本科或以上,3年工作经验,14-29万,,,https://www.liepin.com/job/198737328.shtml
算法设计工程师－计算机视觉方向,敏行医学,,硕士或以上,经验不限,18-36万,,,https://www.liepin.com/job/197925873.shtml
视觉开发团队主管,海目星科技,,本科或以上,5年工作经验,20-26万,,,https://www.liepin.com/job/198106549.shtml
算法工程师,深圳明锐理想科技有限公司,,本科或以上,1年工作经验,14-24万,,,https://www.liepin.com/job/197999826.shtml
深度学习算法工程师,真玫智能科技(深圳)有限公司,,硕士或以上,经验不限,18-36万,,,https://www.liepin.com/job/197831760.shtml
算法工程师,蓝韵医学影像,,本科或以上,经验不限,18-30万,,,https://www.liepin.com/job/196565462.shtml
GPU软件工程师,斯尔顿科技,,本科或以上,3年工作经验,18-24万,,,https://www.liepin.com/job/197211209.shtml
软件开发工程师,深圳市欧力克斯科技有限公司,,本科或以上,5年工作经验,面议,,,https://www.liepin.com/job/197330617.shtml
视觉算法工程师,飞马机器人,,硕士或以上,经验不限,18-24万,,,https://www.liepin.com/job/195818556.shtml
高级软件测试工程师,智能管家,,本科或以上,3年工作经验,14-18万,,,https://www.liepin.com/job/194651886.shtml
Linux驱动开发工程师,同为数码,,学历不限,5年工作经验,18-30万,,,https://www.liepin.com/job/194798741.shtml
算法工程师,飞马机器人,,学历不限,经验不限,面议,,,https://www.liepin.com/job/196637737.shtml
智能算法工程师,同为数码,,学历不限,8年工作经验,18-30万,,,https://www.liepin.com/job/195035466.shtml
高级C++/C#软件工程师,深圳明锐理想科技有限公司,,本科或以上,4年工作经验,21-29万,,,https://www.liepin.com/job/197678881.shtml
